instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.08152,0.98199,0,massA=0.0801 massB=0.902
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.90862,0.98441,0,massA=0.09 massB=0.894
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.82446,0.98715,0,massA=0.173 massB=0.814
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.10375,0.97917,0,massA=0.102 massB=0.878
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.05185,0.99447,0,massA=0.0516 massB=0.943
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.01187,0.99751,0,massA=0.0118 massB=0.986
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.98951,0.99786,0,massA=0.0105 massB=0.987
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.30404,0.99593,0,massA=0.303 massB=0.693
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.94854,0.98864,0,massA=0.0509 massB=0.938
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.5775,0.98388,0,massA=0.416 massB=0.568
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.67233,0.98465,0,massA=0.323 massB=0.662
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99612,0.99814,0,massA=0.00388 massB=0.994
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.89479,0.99012,0,massA=0.104 massB=0.886
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.25683,0.99566,0,massA=0.256 massB=0.74
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.31069,0.99639,0,massA=0.31 massB=0.687
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.40357,0.99604,0,massA=0.402 massB=0.594
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.18243,0.99341,0,massA=0.181 massB=0.812
p1,236,23,risk,0,91,626,0.23,1.5822,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.90329,0.98608,0,massA=0.0954 massB=0.891
p1,206,20,risk,0,186,266,0.63,0.901,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.91368,0.98337,0,massA=0.0849 massB=0.898
p1,68,6,risk,0,94,101,0.71,0.7629,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.92944,0.99566,0,massA=0.0703 massB=0.925
p1,337,33,risk,0,142,446,0.53,1.6646,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.06371,0.99327,0,massA=0.0633 massB=0.93
p1,44,4,risk,0,29,71,0.55,1.3466,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.58889,0.98776,0,massA=0.406 massB=0.582
p1,188,18,risk,0,41,61,0.58,0.8629,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.93767,0.99631,0,massA=0.0621 massB=0.934
p1,354,35,risk,0,91,133,0.68,0.9938,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.5813,0.98431,0,massA=0.412 massB=0.572
p1,210,21,risk,0,106,206,0.73,1.4187,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.83441,0.98551,0,massA=0.163 massB=0.822
p1,60,6,risk,0,94,101,0.71,0.7629,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.87494,0.98226,0,massA=0.123 massB=0.859
p1,70,7,risk,0,63,98,0.64,0.9956,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.82219,0.98971,0,massA=0.176 massB=0.814
p1,273,27,risk,0,166,433,0.53,1.3825,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.01302,0.99704,0,massA=0.013 massB=0.984
p1,174,17,risk,0,117,362,0.42,1.2995,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.38862,0.98355,0,massA=0.601 massB=0.382
p1,100,10,risk,0,111,278,0.58,1.4526,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.88324,0.98665,0,massA=0.115 massB=0.871
p1,176,17,risk,0,117,362,0.42,1.2995,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.79053,0.98536,0,massA=0.206 massB=0.779
p1,272,27,risk,0,166,433,0.53,1.3825,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99758,0.99855,0,massA=0.00241 massB=0.996
p1,149,14,risk,0,81,201,0.68,1.6874,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.03186,0.99422,0,massA=0.0317 massB=0.963
p1,294,29,risk,0,79,81,0.83,0.851,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.56218,0.98558,0,massA=0.432 massB=0.554
p1,385,38,risk,0,183,609,0.38,1.2646,2,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.06009,0.97701,0,massA=0.0587 massB=0.918
p1,64,6,risk,0,94,101,0.71,0.7629,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.52342,0.98385,0,massA=0.469 massB=0.515
p1,241,24,risk,0,168,214,0.76,0.9681,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.32767,0.99481,0,massA=0.326 massB=0.669
p1,37,3,risk,0,46,158,0.33,1.1335,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.13117,0.99342,0,massA=0.13 massB=0.863
p1,198,19,risk,0,64,122,0.49,0.9341,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.88721,0.99581,0,massA=0.112 massB=0.883
p1,216,21,risk,0,106,206,0.73,1.4187,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.89479,0.98245,0,massA=0.103 massB=0.879
p1,360,36,risk,0,98,227,0.47,1.0887,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.7773,0.99164,0,massA=0.221 massB=0.771
p1,254,25,risk,0,124,207,0.76,1.2687,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.64064,0.98573,0,massA=0.354 massB=0.631
p1,258,25,risk,0,124,207,0.76,1.2687,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.95186,0.99624,0,massA=0.048 massB=0.948
p1,377,37,risk,0,151,252,0.68,1.1348,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.15406,0.99423,0,massA=0.153 massB=0.841
p1,120,12,risk,0,164,541,0.38,1.2535,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.83114,0.98782,0,massA=0.167 massB=0.821
p1,389,38,risk,0,183,609,0.38,1.2646,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.02931,0.99436,0,massA=0.0291 massB=0.965
p1,281,28,risk,0,132,181,0.76,1.0421,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.32767,0.99521,0,massA=0.326 massB=0.669
p1,260,26,risk,0,59,151,0.36,0.9214,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.83762,0.99044,0,massA=0.161 massB=0.83
p1,146,14,risk,0,81,201,0.68,1.6874,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.90991,0.99075,0,massA=0.0893 massB=0.901
p1,179,17,risk,0,117,362,0.42,1.2995,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.02676,0.99387,0,massA=0.0266 massB=0.967
p1,271,27,risk,0,166,433,0.53,1.3825,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.25386,0.99533,0,massA=0.253 massB=0.743
p1,264,26,risk,0,59,151,0.36,0.9214,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.60766,0.98505,0,massA=0.386 massB=0.599
p1,290,29,risk,0,79,81,0.83,0.851,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.88953,0.98731,0,massA=0.109 massB=0.878
p1,343,34,risk,0,52,96,0.63,1.1631,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.0145,0.99788,0,massA=0.0145 massB=0.983
p1,286,28,risk,0,132,181,0.76,1.0421,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.945,0.98635,0,massA=0.0543 massB=0.932
p1,51,5,risk,0,162,381,0.46,1.0819,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.31405,0.99548,0,massA=0.313 massB=0.683
p1,252,25,risk,0,124,207,0.76,1.2687,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99862,0.99828,0,massA=0.00138 massB=0.997
p1,107,10,risk,0,111,278,0.58,1.4526,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.08389,0.99379,0,massA=0.0834 massB=0.91
p1,173,17,risk,0,117,362,0.42,1.2995,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.0069,0.99675,0,massA=0.00688 massB=0.99
p1,382,38,risk,0,183,609,0.38,1.2646,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.9966,0.99787,0,massA=0.0034 massB=0.994
p1,59,5,risk,0,162,381,0.46,1.0819,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.0341,0.99371,0,massA=0.0339 massB=0.96
p1,330,33,risk,0,142,446,0.53,1.6646,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.85489,0.98922,0,massA=0.144 massB=0.846
p1,317,31,risk,0,51,151,0.29,0.8586,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.06465,0.99576,0,massA=0.0644 massB=0.931
p1,99,9,risk,0,49,153,0.26,0.8118,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.02369,0.99508,0,massA=0.0236 massB=0.972
p1,308,30,risk,0,149,447,0.26,0.78,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.92304,0.99578,0,massA=0.0766 massB=0.919
p1,54,5,risk,0,162,381,0.46,1.0819,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.74909,0.98729,0,massA=0.248 massB=0.74
p1,350,35,risk,0,91,133,0.68,0.9938,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.91671,0.98584,0,massA=0.0821 massB=0.904
p1,194,19,risk,0,64,122,0.49,0.9341,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.43015,0.98761,0,massA=0.563 massB=0.425
p1,39,3,risk,0,46,158,0.33,1.1335,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.02537,0.99562,0,massA=0.0253 massB=0.97
p1,230,23,risk,0,91,626,0.23,1.5822,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.84594,0.99044,0,massA=0.153 massB=0.838
p1,53,5,risk,0,162,381,0.46,1.0819,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.00845,0.99648,0,massA=0.00842 massB=0.988
p1,250,25,risk,0,124,207,0.76,1.2687,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.94815,0.98787,0,massA=0.0512 massB=0.937
p1,90,9,risk,0,49,153,0.26,0.8118,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.84078,0.98828,0,massA=0.157 massB=0.831
p1,48,4,risk,0,29,71,0.55,1.3466,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.91964,0.99614,0,massA=0.08 massB=0.916
p1,251,25,risk,0,124,207,0.76,1.2687,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.29747,0.99469,0,massA=0.296 massB=0.699
p1,102,10,risk,0,111,278,0.58,1.4526,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99713,0.99817,0,massA=0.00286 massB=0.995
p1,328,32,risk,0,131,236,0.57,1.0269,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.93903,0.99625,0,massA=0.0607 massB=0.935
p1,109,10,risk,0,111,278,0.58,1.4526,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.02576,0.99484,0,massA=0.0256 massB=0.969
p1,261,26,risk,0,59,151,0.36,0.9214,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.26588,0.99613,0,massA=0.265 massB=0.731
p1,220,22,risk,0,81,163,0.72,1.4489,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.89983,0.98998,0,massA=0.0992 massB=0.891
p1,323,32,risk,0,131,236,0.57,1.0269,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.01855,0.99748,0,massA=0.0185 massB=0.979
p1,374,37,risk,0,151,252,0.68,1.1348,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.74317,0.98237,0,massA=0.252 massB=0.73
p1,284,28,risk,0,132,181,0.76,1.0421,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.69264,0.98066,0,massA=0.301 massB=0.679
p1,10,1,risk,0,58,116,0.66,1.32,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.91789,0.98934,0,massA=0.0812 massB=0.908
p1,224,22,risk,0,81,163,0.72,1.4489,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.5775,0.98171,0,massA=0.415 massB=0.567
p1,292,29,risk,0,79,81,0.83,0.851,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99809,0.99831,0,massA=0.00191 massB=0.996
p1,235,23,risk,0,91,626,0.23,1.5822,2,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.06009,0.98202,0,massA=0.059 massB=0.923
p1,182,18,risk,0,41,61,0.58,0.8629,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99646,0.9985,0,massA=0.00353 massB=0.995
p1,299,29,risk,0,79,81,0.83,0.851,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.05541,0.99391,0,massA=0.0551 massB=0.939
p1,196,19,risk,0,64,122,0.49,0.9341,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.81048,0.9919,0,massA=0.188 massB=0.804
p1,291,29,risk,0,79,81,0.83,0.851,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.41111,0.99535,0,massA=0.409 massB=0.586
p1,353,35,risk,0,91,133,0.68,0.9938,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.01691,0.99734,0,massA=0.0169 massB=0.98
p1,166,16,risk,0,139,234,0.6,1.0101,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.88721,0.98329,0,massA=0.111 massB=0.872
p1,104,10,risk,0,111,278,0.58,1.4526,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.72798,0.98177,0,massA=0.267 massB=0.715
p1,380,38,risk,0,183,609,0.38,1.2646,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.79566,0.98897,0,massA=0.202 massB=0.787
p1,27,2,risk,0,162,661,0.26,1.0609,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.07159,0.99049,0,massA=0.0709 massB=0.92
p1,114,11,risk,0,54,68,0.81,1.02,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.58889,0.98212,0,massA=0.404 massB=0.578
p1,336,33,risk,0,142,446,0.53,1.6646,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.8977,0.98627,0,massA=0.101 massB=0.885
p1,138,13,risk,0,72,88,0.64,0.7822,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.91244,0.99559,0,massA=0.0872 massB=0.908
p1,115,11,risk,0,54,68,0.81,1.02,2,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.13117,0.98002,0,massA=0.129 massB=0.851
p1,26,2,risk,0,162,661,0.26,1.0609,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.88721,0.97583,0,massA=0.11 massB=0.866
p1,262,26,risk,0,59,151,0.36,0.9214,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99583,0.99843,0,massA=0.00416 massB=0.994
p1,52,5,risk,0,162,381,0.46,1.0819,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99602,0.99823,0,massA=0.00397 massB=0.994
p1,384,38,risk,0,183,609,0.38,1.2646,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.64423,0.98359,0,massA=0.35 massB=0.634
p1,201,20,risk,0,186,266,0.63,0.901,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.32423,0.99539,0,massA=0.323 massB=0.673
p1,209,20,risk,0,186,266,0.63,0.901,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.03789,0.99202,0,massA=0.0376 massB=0.954
p1,200,20,risk,0,186,266,0.63,0.901,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.88721,0.98833,0,massA=0.111 massB=0.877
p1,2,0,risk,0,186,984,0.26,1.3755,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99351,0.99797,0,massA=0.00648 massB=0.991
p1,74,7,risk,0,63,98,0.64,0.9956,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.44939,0.98642,0,massA=0.543 massB=0.443
p1,296,29,risk,0,79,81,0.83,0.851,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.87408,0.98949,0,massA=0.125 massB=0.865
p1,57,5,risk,0,162,381,0.46,1.0819,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.10375,0.99183,0,massA=0.103 massB=0.889
p1,21,2,risk,0,162,661,0.26,1.0609,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.20434,0.9949,0,massA=0.203 massB=0.792
p1,334,33,risk,0,142,446,0.53,1.6646,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.6549,0.98498,0,massA=0.34 massB=0.645
p1,169,16,risk,0,139,234,0.6,1.0101,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.03876,0.99297,0,massA=0.0385 massB=0.954
p1,346,34,risk,0,52,96,0.63,1.1631,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.90329,0.99053,0,massA=0.0958 massB=0.895
p1,18,1,risk,0,58,116,0.66,1.32,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.95186,0.99613,0,massA=0.048 massB=0.948
p1,237,23,risk,0,91,626,0.23,1.5822,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.07159,0.99409,0,massA=0.0712 massB=0.923
p1,339,33,risk,0,142,446,0.53,1.6646,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.0321,0.99357,0,massA=0.0319 massB=0.962
p1,94,9,risk,0,49,153,0.26,0.8118,2,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.5351,0.98521,0,massA=0.458 massB=0.527
p1,158,15,risk,0,82,113,0.74,1.0198,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.94376,0.99536,0,massA=0.056 massB=0.939
p1,175,17,risk,0,117,362,0.42,1.2995,2,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.03964,0.97975,0,massA=0.0388 massB=0.941
p1,183,18,risk,0,41,61,0.58,0.8629,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.02195,0.99751,0,massA=0.0219 massB=0.976
p1,207,20,risk,0,186,266,0.63,0.901,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.12592,0.99297,0,massA=0.125 massB=0.868
p1,333,33,risk,0,142,446,0.53,1.6646,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.01744,0.99695,0,massA=0.0174 massB=0.98
p1,316,31,risk,0,51,151,0.29,0.8586,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.76065,0.98839,0,massA=0.237 massB=0.752
p1,79,7,risk,0,63,98,0.64,0.9956,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.04814,0.99404,0,massA=0.0478 massB=0.946
p1,150,15,risk,0,82,113,0.74,1.0198,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.93392,0.98623,0,massA=0.0652 massB=0.921
p1,322,32,risk,0,131,236,0.57,1.0269,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99739,0.99842,0,massA=0.00261 massB=0.996
p1,239,23,risk,0,91,626,0.23,1.5822,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.02442,0.9945,0,massA=0.0243 massB=0.97
p1,396,39,risk,0,178,567,0.32,1.0193,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.92841,0.98897,0,massA=0.0708 massB=0.918
p1,142,14,risk,0,81,201,0.68,1.6874,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.999,0.99866,0,massA=0.000999 massB=0.998
p1,62,6,risk,0,94,101,0.71,0.7629,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99692,0.99818,0,massA=0.00307 massB=0.995
p1,263,26,risk,0,59,151,0.36,0.9214,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.00971,0.998,0,massA=0.00969 massB=0.988
p1,378,37,risk,0,151,252,0.68,1.1348,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.94967,0.99548,0,massA=0.0501 massB=0.945
p1,160,16,risk,0,139,234,0.6,1.0101,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.87322,0.98369,0,massA=0.125 massB=0.859
p1,383,38,risk,0,183,609,0.38,1.2646,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.00758,0.99685,0,massA=0.00755 massB=0.989
p1,112,11,risk,0,54,68,0.81,1.02,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99801,0.99835,0,massA=0.00198 massB=0.996
p1,156,15,risk,0,82,113,0.74,1.0198,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.92414,0.98501,0,massA=0.0747 massB=0.91
p1,38,3,risk,0,46,158,0.33,1.1335,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.92192,0.99672,0,massA=0.0778 massB=0.919
p1,128,12,risk,0,164,541,0.38,1.2535,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.93812,0.99566,0,massA=0.0616 massB=0.934
p1,217,21,risk,0,106,206,0.73,1.4187,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.21207,0.99308,0,massA=0.211 massB=0.782
p1,318,31,risk,0,51,151,0.29,0.8586,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.90192,0.99483,0,massA=0.0976 massB=0.897
p1,55,5,risk,0,162,381,0.46,1.0819,2,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.07696,0.98054,0,massA=0.0755 massB=0.905
p1,96,9,risk,0,49,153,0.26,0.8118,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.88404,0.98658,0,massA=0.114 massB=0.872
p1,8,0,risk,0,186,984,0.26,1.3755,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.90053,0.99667,0,massA=0.0991 massB=0.898
p1,132,13,risk,0,72,88,0.64,0.7822,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99593,0.99841,0,massA=0.00406 massB=0.994
p1,340,34,risk,0,52,96,0.63,1.1631,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.88162,0.98903,0,massA=0.117 massB=0.872
p1,28,2,risk,0,162,661,0.26,1.0609,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.92304,0.99556,0,massA=0.0766 massB=0.919
p1,77,7,risk,0,63,98,0.64,0.9956,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.20947,0.99477,0,massA=0.208 massB=0.786
p1,349,34,risk,0,52,96,0.63,1.1631,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.03044,0.99467,0,massA=0.0303 massB=0.964
