instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,prompt
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $263 with 33% probability, and $0 with 67% probability.
Payout B: receive $62 with certainty.
Choose the payout you want."
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $46 with certainty.
Offer B: receive $158 with 33% probability, and $0 with 67% probability.
Which offer do you accept?"
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $166 with certainty.
Payout B: receive $433 with 53% probability, and $0 with 47% probability.
Choose the payout you want."
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $181 with 76% probability, and $0 with 24% probability.
Payout B: receive $132 with certainty.
Choose the payout you want."
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $227 with 47% probability, and $0 with 53% probability.
Payout B: receive $98 with certainty.
Choose the payout you want."
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,"Consider the following pair of alternatives and select one.
Alternative A: receive $133 with 68% probability, and $0 with 32% probability.
Alternative B: receive $91 with certainty.
Select the alternative you would rather have."
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $164 with certainty.
Payout B: receive $541 with 38% probability, and $0 with 62% probability.
Choose the payout you want."
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $46 with certainty.
Payout B: receive $158 with 33% probability, and $0 with 67% probability.
Choose the payout you want."
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,"Consider the following pair of alternatives and select one.
Alternative A: receive $214 with 76% probability, and $0 with 24% probability.
Alternative B: receive $168 with certainty.
Select the alternative you would rather have."
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $362 with 42% probability, and $0 with 58% probability.
Payout B: receive $117 with certainty.
Choose the payout you want."
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,"Two offers are on the table and you can accept exactly one.
Offer A: receive $88 with 64% probability, and $0 with 36% probability.
Offer B: receive $72 with certainty.
Which offer do you accept?"
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $51 with certainty.
Offer B: receive $151 with 29% probability, and $0 with 71% probability.
Which offer do you accept?"
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,"You must pick one of two payment options.
Option A: receive $163 with 72% probability, and $0 with 28% probability.
Option B: receive $81 with certainty.
Pick the option you prefer."
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,"You must pick one of two payment options.
Option A: receive $132 with certainty.
Option B: receive $181 with 76% probability, and $0 with 24% probability.
Pick the option you prefer."
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $139 with certainty.
Alternative B: receive $234 with 60% probability, and $0 with 40% probability.
Select the alternative you would rather have."
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $164 with certainty.
Alternative B: receive $541 with 38% probability, and $0 with 62% probability.
Select the alternative you would rather have."
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $142 with certainty.
Offer B: receive $446 with 53% probability, and $0 with 47% probability.
Which offer do you accept?"
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $81 with certainty.
Payout B: receive $163 with 72% probability, and $0 with 28% probability.
Choose the payout you want."
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,"You must pick one of two payment options.
Option A: receive $567 with 32% probability, and $0 with 68% probability.
Option B: receive $178 with certainty.
Pick the option you prefer."
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,"You must pick one of two payment options.
Option A: receive $263 with 33% probability, and $0 with 67% probability.
Option B: receive $62 with certainty.
Pick the option you prefer."
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,"You must pick one of two payment options.
Option A: receive $98 with 64% probability, and $0 with 36% probability.
Option B: receive $63 with certainty.
Pick the option you prefer."
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $116 with 66% probability, and $0 with 34% probability.
Payout B: receive $58 with certainty.
Choose the payout you want."
p1,236,23,risk,0,91,626,0.23,1.5822,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $91 with certainty.
Payout B: receive $626 with 23% probability, and $0 with 77% probability.
Choose the payout you want."
p1,206,20,risk,0,186,266,0.63,0.901,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $186 with certainty.
Payout B: receive $266 with 63% probability, and $0 with 37% probability.
Choose the payout you want."
p1,68,6,risk,0,94,101,0.71,0.7629,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $94 with certainty.
Deal B: receive $101 with 71% probability, and $0 with 29% probability.
Decide which deal you take."
p1,337,33,risk,0,142,446,0.53,1.6646,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $446 with 53% probability, and $0 with 47% probability.
Payout B: receive $142 with certainty.
Choose the payout you want."
p1,44,4,risk,0,29,71,0.55,1.3466,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $29 with certainty.
Alternative B: receive $71 with 55% probability, and $0 with 45% probability.
Select the alternative you would rather have."
p1,188,18,risk,0,41,61,0.58,0.8629,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $41 with certainty.
Deal B: receive $61 with 58% probability, and $0 with 42% probability.
Decide which deal you take."
p1,354,35,risk,0,91,133,0.68,0.9938,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $91 with certainty.
Alternative B: receive $133 with 68% probability, and $0 with 32% probability.
Select the alternative you would rather have."
p1,210,21,risk,0,106,206,0.73,1.4187,0,True,B,"You must pick one of two payment options.
Option A: receive $106 with certainty.
Option B: receive $206 with 73% probability, and $0 with 27% probability.
Pick the option you prefer."
p1,60,6,risk,0,94,101,0.71,0.7629,0,True,B,"You must pick one of two payment options.
Option A: receive $94 with certainty.
Option B: receive $101 with 71% probability, and $0 with 29% probability.
Pick the option you prefer."
p1,70,7,risk,0,63,98,0.64,0.9956,0,True,B,"You must pick one of two payment options.
Option A: receive $63 with certainty.
Option B: receive $98 with 64% probability, and $0 with 36% probability.
Pick the option you prefer."
p1,273,27,risk,0,166,433,0.53,1.3825,1,False,A,"Two offers are on the table and you can accept exactly one.
Offer A: receive $433 with 53% probability, and $0 with 47% probability.
Offer B: receive $166 with certainty.
Which offer do you accept?"
p1,174,17,risk,0,117,362,0.42,1.2995,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $117 with certainty.
Alternative B: receive $362 with 42% probability, and $0 with 58% probability.
Select the alternative you would rather have."
p1,100,10,risk,0,111,278,0.58,1.4526,0,True,B,"You must pick one of two payment options.
Option A: receive $111 with certainty.
Option B: receive $278 with 58% probability, and $0 with 42% probability.
Pick the option you prefer."
p1,176,17,risk,0,117,362,0.42,1.2995,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $117 with certainty.
Payout B: receive $362 with 42% probability, and $0 with 58% probability.
Choose the payout you want."
p1,272,27,risk,0,166,433,0.53,1.3825,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $166 with certainty.
Offer B: receive $433 with 53% probability, and $0 with 47% probability.
Which offer do you accept?"
p1,149,14,risk,0,81,201,0.68,1.6874,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $201 with 68% probability, and $0 with 32% probability.
Deal B: receive $81 with certainty.
Decide which deal you take."
p1,294,29,risk,0,79,81,0.83,0.851,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $79 with certainty.
Alternative B: receive $81 with 83% probability, and $0 with 17% probability.
Select the alternative you would rather have."
p1,385,38,risk,0,183,609,0.38,1.2646,2,False,A,"Consider the following pair of alternatives and select one.
Alternative A: receive $609 with 38% probability, and $0 with 62% probability.
Alternative B: receive $183 with certainty.
Select the alternative you would rather have."
p1,64,6,risk,0,94,101,0.71,0.7629,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $94 with certainty.
Alternative B: receive $101 with 71% probability, and $0 with 29% probability.
Select the alternative you would rather have."
p1,241,24,risk,0,168,214,0.76,0.9681,0,False,A,"You must pick one of two payment options.
Option A: receive $214 with 76% probability, and $0 with 24% probability.
Option B: receive $168 with certainty.
Pick the option you prefer."
p1,37,3,risk,0,46,158,0.33,1.1335,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $158 with 33% probability, and $0 with 67% probability.
Payout B: receive $46 with certainty.
Choose the payout you want."
p1,198,19,risk,0,64,122,0.49,0.9341,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $64 with certainty.
Deal B: receive $122 with 49% probability, and $0 with 51% probability.
Decide which deal you take."
p1,216,21,risk,0,106,206,0.73,1.4187,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $106 with certainty.
Payout B: receive $206 with 73% probability, and $0 with 27% probability.
Choose the payout you want."
p1,360,36,risk,0,98,227,0.47,1.0887,0,True,B,"You must pick one of two payment options.
Option A: receive $98 with certainty.
Option B: receive $227 with 47% probability, and $0 with 53% probability.
Pick the option you prefer."
p1,254,25,risk,0,124,207,0.76,1.2687,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $124 with certainty.
Alternative B: receive $207 with 76% probability, and $0 with 24% probability.
Select the alternative you would rather have."
p1,258,25,risk,0,124,207,0.76,1.2687,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $124 with certainty.
Deal B: receive $207 with 76% probability, and $0 with 24% probability.
Decide which deal you take."
p1,377,37,risk,0,151,252,0.68,1.1348,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $252 with 68% probability, and $0 with 32% probability.
Payout B: receive $151 with certainty.
Choose the payout you want."
p1,120,12,risk,0,164,541,0.38,1.2535,0,True,B,"You must pick one of two payment options.
Option A: receive $164 with certainty.
Option B: receive $541 with 38% probability, and $0 with 62% probability.
Pick the option you prefer."
p1,389,38,risk,0,183,609,0.38,1.2646,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $609 with 38% probability, and $0 with 62% probability.
Deal B: receive $183 with certainty.
Decide which deal you take."
p1,281,28,risk,0,132,181,0.76,1.0421,0,False,A,"You must pick one of two payment options.
Option A: receive $181 with 76% probability, and $0 with 24% probability.
Option B: receive $132 with certainty.
Pick the option you prefer."
p1,260,26,risk,0,59,151,0.36,0.9214,0,True,B,"You must pick one of two payment options.
Option A: receive $59 with certainty.
Option B: receive $151 with 36% probability, and $0 with 64% probability.
Pick the option you prefer."
p1,146,14,risk,0,81,201,0.68,1.6874,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $81 with certainty.
Payout B: receive $201 with 68% probability, and $0 with 32% probability.
Choose the payout you want."
p1,179,17,risk,0,117,362,0.42,1.2995,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $362 with 42% probability, and $0 with 58% probability.
Deal B: receive $117 with certainty.
Decide which deal you take."
p1,271,27,risk,0,166,433,0.53,1.3825,0,False,A,"You must pick one of two payment options.
Option A: receive $433 with 53% probability, and $0 with 47% probability.
Option B: receive $166 with certainty.
Pick the option you prefer."
p1,264,26,risk,0,59,151,0.36,0.9214,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $59 with certainty.
Alternative B: receive $151 with 36% probability, and $0 with 64% probability.
Select the alternative you would rather have."
p1,290,29,risk,0,79,81,0.83,0.851,0,True,B,"You must pick one of two payment options.
Option A: receive $79 with certainty.
Option B: receive $81 with 83% probability, and $0 with 17% probability.
Pick the option you prefer."
p1,343,34,risk,0,52,96,0.63,1.1631,1,False,A,"Two offers are on the table and you can accept exactly one.
Offer A: receive $96 with 63% probability, and $0 with 37% probability.
Offer B: receive $52 with certainty.
Which offer do you accept?"
p1,286,28,risk,0,132,181,0.76,1.0421,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $132 with certainty.
Payout B: receive $181 with 76% probability, and $0 with 24% probability.
Choose the payout you want."
p1,51,5,risk,0,162,381,0.46,1.0819,0,False,A,"You must pick one of two payment options.
Option A: receive $381 with 46% probability, and $0 with 54% probability.
Option B: receive $162 with certainty.
Pick the option you prefer."
p1,252,25,risk,0,124,207,0.76,1.2687,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $124 with certainty.
Offer B: receive $207 with 76% probability, and $0 with 24% probability.
Which offer do you accept?"
p1,107,10,risk,0,111,278,0.58,1.4526,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $278 with 58% probability, and $0 with 42% probability.
Payout B: receive $111 with certainty.
Choose the payout you want."
p1,173,17,risk,0,117,362,0.42,1.2995,1,False,A,"Two offers are on the table and you can accept exactly one.
Offer A: receive $362 with 42% probability, and $0 with 58% probability.
Offer B: receive $117 with certainty.
Which offer do you accept?"
p1,382,38,risk,0,183,609,0.38,1.2646,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $183 with certainty.
Offer B: receive $609 with 38% probability, and $0 with 62% probability.
Which offer do you accept?"
p1,59,5,risk,0,162,381,0.46,1.0819,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $381 with 46% probability, and $0 with 54% probability.
Deal B: receive $162 with certainty.
Decide which deal you take."
p1,330,33,risk,0,142,446,0.53,1.6646,0,True,B,"You must pick one of two payment options.
Option A: receive $142 with certainty.
Option B: receive $446 with 53% probability, and $0 with 47% probability.
Pick the option you prefer."
p1,317,31,risk,0,51,151,0.29,0.8586,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $151 with 29% probability, and $0 with 71% probability.
Payout B: receive $51 with certainty.
Choose the payout you want."
p1,99,9,risk,0,49,153,0.26,0.8118,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $153 with 26% probability, and $0 with 74% probability.
Deal B: receive $49 with certainty.
Decide which deal you take."
p1,308,30,risk,0,149,447,0.26,0.78,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $149 with certainty.
Deal B: receive $447 with 26% probability, and $0 with 74% probability.
Decide which deal you take."
p1,54,5,risk,0,162,381,0.46,1.0819,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $162 with certainty.
Alternative B: receive $381 with 46% probability, and $0 with 54% probability.
Select the alternative you would rather have."
p1,350,35,risk,0,91,133,0.68,0.9938,0,True,B,"You must pick one of two payment options.
Option A: receive $91 with certainty.
Option B: receive $133 with 68% probability, and $0 with 32% probability.
Pick the option you prefer."
p1,194,19,risk,0,64,122,0.49,0.9341,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $64 with certainty.
Alternative B: receive $122 with 49% probability, and $0 with 51% probability.
Select the alternative you would rather have."
p1,39,3,risk,0,46,158,0.33,1.1335,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $158 with 33% probability, and $0 with 67% probability.
Deal B: receive $46 with certainty.
Decide which deal you take."
p1,230,23,risk,0,91,626,0.23,1.5822,0,True,B,"You must pick one of two payment options.
Option A: receive $91 with certainty.
Option B: receive $626 with 23% probability, and $0 with 77% probability.
Pick the option you prefer."
p1,53,5,risk,0,162,381,0.46,1.0819,1,False,A,"Two offers are on the table and you can accept exactly one.
Offer A: receive $381 with 46% probability, and $0 with 54% probability.
Offer B: receive $162 with certainty.
Which offer do you accept?"
p1,250,25,risk,0,124,207,0.76,1.2687,0,True,B,"You must pick one of two payment options.
Option A: receive $124 with certainty.
Option B: receive $207 with 76% probability, and $0 with 24% probability.
Pick the option you prefer."
p1,90,9,risk,0,49,153,0.26,0.8118,0,True,B,"You must pick one of two payment options.
Option A: receive $49 with certainty.
Option B: receive $153 with 26% probability, and $0 with 74% probability.
Pick the option you prefer."
p1,48,4,risk,0,29,71,0.55,1.3466,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $29 with certainty.
Deal B: receive $71 with 55% probability, and $0 with 45% probability.
Decide which deal you take."
p1,251,25,risk,0,124,207,0.76,1.2687,0,False,A,"You must pick one of two payment options.
Option A: receive $207 with 76% probability, and $0 with 24% probability.
Option B: receive $124 with certainty.
Pick the option you prefer."
p1,102,10,risk,0,111,278,0.58,1.4526,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $111 with certainty.
Offer B: receive $278 with 58% probability, and $0 with 42% probability.
Which offer do you accept?"
p1,328,32,risk,0,131,236,0.57,1.0269,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $131 with certainty.
Deal B: receive $236 with 57% probability, and $0 with 43% probability.
Decide which deal you take."
p1,109,10,risk,0,111,278,0.58,1.4526,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $278 with 58% probability, and $0 with 42% probability.
Deal B: receive $111 with certainty.
Decide which deal you take."
p1,261,26,risk,0,59,151,0.36,0.9214,0,False,A,"You must pick one of two payment options.
Option A: receive $151 with 36% probability, and $0 with 64% probability.
Option B: receive $59 with certainty.
Pick the option you prefer."
p1,220,22,risk,0,81,163,0.72,1.4489,0,True,B,"You must pick one of two payment options.
Option A: receive $81 with certainty.
Option B: receive $163 with 72% probability, and $0 with 28% probability.
Pick the option you prefer."
p1,323,32,risk,0,131,236,0.57,1.0269,1,False,A,"Two offers are on the table and you can accept exactly one.
Offer A: receive $236 with 57% probability, and $0 with 43% probability.
Offer B: receive $131 with certainty.
Which offer do you accept?"
p1,374,37,risk,0,151,252,0.68,1.1348,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $151 with certainty.
Alternative B: receive $252 with 68% probability, and $0 with 32% probability.
Select the alternative you would rather have."
p1,284,28,risk,0,132,181,0.76,1.0421,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $132 with certainty.
Alternative B: receive $181 with 76% probability, and $0 with 24% probability.
Select the alternative you would rather have."
p1,10,1,risk,0,58,116,0.66,1.32,0,True,B,"You must pick one of two payment options.
Option A: receive $58 with certainty.
Option B: receive $116 with 66% probability, and $0 with 34% probability.
Pick the option you prefer."
p1,224,22,risk,0,81,163,0.72,1.4489,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $81 with certainty.
Alternative B: receive $163 with 72% probability, and $0 with 28% probability.
Select the alternative you would rather have."
p1,292,29,risk,0,79,81,0.83,0.851,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $79 with certainty.
Offer B: receive $81 with 83% probability, and $0 with 17% probability.
Which offer do you accept?"
p1,235,23,risk,0,91,626,0.23,1.5822,2,False,A,"Consider the following pair of alternatives and select one.
Alternative A: receive $626 with 23% probability, and $0 with 77% probability.
Alternative B: receive $91 with certainty.
Select the alternative you would rather have."
p1,182,18,risk,0,41,61,0.58,0.8629,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $41 with certainty.
Offer B: receive $61 with 58% probability, and $0 with 42% probability.
Which offer do you accept?"
p1,299,29,risk,0,79,81,0.83,0.851,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $81 with 83% probability, and $0 with 17% probability.
Deal B: receive $79 with certainty.
Decide which deal you take."
p1,196,19,risk,0,64,122,0.49,0.9341,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $64 with certainty.
Payout B: receive $122 with 49% probability, and $0 with 51% probability.
Choose the payout you want."
p1,291,29,risk,0,79,81,0.83,0.851,0,False,A,"You must pick one of two payment options.
Option A: receive $81 with 83% probability, and $0 with 17% probability.
Option B: receive $79 with certainty.
Pick the option you prefer."
p1,353,35,risk,0,91,133,0.68,0.9938,1,False,A,"Two offers are on the table and you can accept exactly one.
Offer A: receive $133 with 68% probability, and $0 with 32% probability.
Offer B: receive $91 with certainty.
Which offer do you accept?"
p1,166,16,risk,0,139,234,0.6,1.0101,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $139 with certainty.
Payout B: receive $234 with 60% probability, and $0 with 40% probability.
Choose the payout you want."
p1,104,10,risk,0,111,278,0.58,1.4526,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $111 with certainty.
Alternative B: receive $278 with 58% probability, and $0 with 42% probability.
Select the alternative you would rather have."
p1,380,38,risk,0,183,609,0.38,1.2646,0,True,B,"You must pick one of two payment options.
Option A: receive $183 with certainty.
Option B: receive $609 with 38% probability, and $0 with 62% probability.
Pick the option you prefer."
p1,27,2,risk,0,162,661,0.26,1.0609,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $661 with 26% probability, and $0 with 74% probability.
Payout B: receive $162 with certainty.
Choose the payout you want."
p1,114,11,risk,0,54,68,0.81,1.02,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $54 with certainty.
Alternative B: receive $68 with 81% probability, and $0 with 19% probability.
Select the alternative you would rather have."
p1,336,33,risk,0,142,446,0.53,1.6646,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $142 with certainty.
Payout B: receive $446 with 53% probability, and $0 with 47% probability.
Choose the payout you want."
p1,138,13,risk,0,72,88,0.64,0.7822,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $72 with certainty.
Deal B: receive $88 with 64% probability, and $0 with 36% probability.
Decide which deal you take."
p1,115,11,risk,0,54,68,0.81,1.02,2,False,A,"Consider the following pair of alternatives and select one.
Alternative A: receive $68 with 81% probability, and $0 with 19% probability.
Alternative B: receive $54 with certainty.
Select the alternative you would rather have."
p1,26,2,risk,0,162,661,0.26,1.0609,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $162 with certainty.
Payout B: receive $661 with 26% probability, and $0 with 74% probability.
Choose the payout you want."
p1,262,26,risk,0,59,151,0.36,0.9214,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $59 with certainty.
Offer B: receive $151 with 36% probability, and $0 with 64% probability.
Which offer do you accept?"
p1,52,5,risk,0,162,381,0.46,1.0819,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $162 with certainty.
Offer B: receive $381 with 46% probability, and $0 with 54% probability.
Which offer do you accept?"
p1,384,38,risk,0,183,609,0.38,1.2646,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $183 with certainty.
Alternative B: receive $609 with 38% probability, and $0 with 62% probability.
Select the alternative you would rather have."
p1,201,20,risk,0,186,266,0.63,0.901,0,False,A,"You must pick one of two payment options.
Option A: receive $266 with 63% probability, and $0 with 37% probability.
Option B: receive $186 with certainty.
Pick the option you prefer."
p1,209,20,risk,0,186,266,0.63,0.901,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $266 with 63% probability, and $0 with 37% probability.
Deal B: receive $186 with certainty.
Decide which deal you take."
p1,200,20,risk,0,186,266,0.63,0.901,0,True,B,"You must pick one of two payment options.
Option A: receive $186 with certainty.
Option B: receive $266 with 63% probability, and $0 with 37% probability.
Pick the option you prefer."
p1,2,0,risk,0,186,984,0.26,1.3755,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $186 with certainty.
Offer B: receive $984 with 26% probability, and $0 with 74% probability.
Which offer do you accept?"
p1,74,7,risk,0,63,98,0.64,0.9956,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $63 with certainty.
Alternative B: receive $98 with 64% probability, and $0 with 36% probability.
Select the alternative you would rather have."
p1,296,29,risk,0,79,81,0.83,0.851,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $79 with certainty.
Payout B: receive $81 with 83% probability, and $0 with 17% probability.
Choose the payout you want."
p1,57,5,risk,0,162,381,0.46,1.0819,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $381 with 46% probability, and $0 with 54% probability.
Payout B: receive $162 with certainty.
Choose the payout you want."
p1,21,2,risk,0,162,661,0.26,1.0609,0,False,A,"You must pick one of two payment options.
Option A: receive $661 with 26% probability, and $0 with 74% probability.
Option B: receive $162 with certainty.
Pick the option you prefer."
p1,334,33,risk,0,142,446,0.53,1.6646,2,True,B,"Consider the following pair of alternatives and select one.
Alternative A: receive $142 with certainty.
Alternative B: receive $446 with 53% probability, and $0 with 47% probability.
Select the alternative you would rather have."
p1,169,16,risk,0,139,234,0.6,1.0101,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $234 with 60% probability, and $0 with 40% probability.
Deal B: receive $139 with certainty.
Decide which deal you take."
p1,346,34,risk,0,52,96,0.63,1.1631,3,True,B,"You are entitled to one of two payouts.
Payout A: receive $52 with certainty.
Payout B: receive $96 with 63% probability, and $0 with 37% probability.
Choose the payout you want."
p1,18,1,risk,0,58,116,0.66,1.32,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $58 with certainty.
Deal B: receive $116 with 66% probability, and $0 with 34% probability.
Decide which deal you take."
