instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note
p1,337,33,risk,0,142,446,0.53,1.6646,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.95791,1.0,0,massA=0.958 massB=0.0421
p1,44,4,risk,0,29,71,0.55,1.3466,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.74317,1.0,0,massA=0.257 massB=0.743
p1,188,18,risk,0,41,61,0.58,0.8629,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.98594,1.0,0,massA=0.0141 massB=0.986
p1,354,35,risk,0,91,133,0.68,0.9938,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.12592,1.0,0,massA=0.874 massB=0.126
p1,210,21,risk,0,106,206,0.73,1.4187,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.4225,1.0,0,massA=0.577 massB=0.423
p1,60,6,risk,0,94,101,0.71,0.7629,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.89331,1.0,0,massA=0.107 massB=0.893
p1,70,7,risk,0,63,98,0.64,0.9956,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.93812,1.0,0,massA=0.0619 massB=0.938
p1,273,27,risk,0,166,433,0.53,1.3825,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.78266,1.0,0,massA=0.783 massB=0.217
p1,174,17,risk,0,117,362,0.42,1.2995,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.06188,1.0,0,massA=0.938 massB=0.0619
p1,100,10,risk,0,111,278,0.58,1.4526,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.84797,1.0,0,massA=0.152 massB=0.848
p1,176,17,risk,0,117,362,0.42,1.2995,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.09269,1.0,0,massA=0.907 massB=0.0927
p1,272,27,risk,0,166,433,0.53,1.3825,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.19683,1.0,0,massA=0.803 massB=0.197
p1,149,14,risk,0,81,201,0.68,1.6874,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.97967,1.0,0,massA=0.98 massB=0.0203
p1,294,29,risk,0,79,81,0.83,0.851,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.93629,1.0,0,massA=0.0637 massB=0.936
p1,385,38,risk,0,183,609,0.38,1.2646,2,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.19683,1.0,0,massA=0.197 massB=0.803
p1,64,6,risk,0,94,101,0.71,0.7629,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.74909,1.0,0,massA=0.251 massB=0.749
p1,241,24,risk,0,168,214,0.76,0.9681,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.1192,0.99999,0,massA=0.119 massB=0.881
p1,37,3,risk,0,46,158,0.33,1.1335,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.15203,1.0,0,massA=0.152 massB=0.848
p1,198,19,risk,0,64,122,0.49,0.9341,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.8872,1.0,0,massA=0.113 massB=0.887
p1,216,21,risk,0,106,206,0.73,1.4187,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.24509,1.0,0,massA=0.755 massB=0.245
p1,360,36,risk,0,98,227,0.47,1.0887,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.68595,1.0,0,massA=0.314 massB=0.686
p1,254,25,risk,0,124,207,0.76,1.2687,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.29421,1.0,0,massA=0.706 massB=0.294
p1,258,25,risk,0,124,207,0.76,1.2687,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.97558,1.0,0,massA=0.0244 massB=0.976
p1,377,37,risk,0,151,252,0.68,1.1348,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.97069,1.0,0,massA=0.971 massB=0.0293
p1,120,12,risk,0,164,541,0.38,1.2535,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.16452,1.0,0,massA=0.835 massB=0.165
p1,389,38,risk,0,183,609,0.38,1.2646,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.89912,1.0,0,massA=0.899 massB=0.101
p1,281,28,risk,0,132,181,0.76,1.0421,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.04468,1.0,0,massA=0.0447 massB=0.955
p1,260,26,risk,0,59,151,0.36,0.9214,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.71223,1.0,0,massA=0.288 massB=0.712
p1,146,14,risk,0,81,201,0.68,1.6874,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.5,1.0,0,massA=0.5 massB=0.5
p1,179,17,risk,0,117,362,0.42,1.2995,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.96979,1.0,0,massA=0.97 massB=0.0302
p1,271,27,risk,0,166,433,0.53,1.3825,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.02442,1.0,0,massA=0.0244 massB=0.976
p1,264,26,risk,0,59,151,0.36,0.9214,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.29421,1.0,0,massA=0.706 massB=0.294
p1,290,29,risk,0,79,81,0.83,0.851,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.9466,1.0,0,massA=0.0534 massB=0.947
p1,343,34,risk,0,52,96,0.63,1.1631,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.93991,1.0,0,massA=0.94 massB=0.0601
p1,286,28,risk,0,132,181,0.76,1.0421,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.68595,1.0,0,massA=0.314 massB=0.686
p1,51,5,risk,0,162,381,0.46,1.0819,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.01065,1.0,0,massA=0.0107 massB=0.989
p1,252,25,risk,0,124,207,0.76,1.2687,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.38491,1.0,0,massA=0.615 massB=0.385
p1,107,10,risk,0,111,278,0.58,1.4526,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.85585,1.0,0,massA=0.856 massB=0.144
p1,173,17,risk,0,117,362,0.42,1.2995,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.65842,1.0,0,massA=0.658 massB=0.342
p1,382,38,risk,0,183,609,0.38,1.2646,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.0534,1.0,0,massA=0.947 massB=0.0534
p1,59,5,risk,0,162,381,0.46,1.0819,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.88404,1.0,0,massA=0.884 massB=0.116
p1,330,33,risk,0,142,446,0.53,1.6646,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.79819,1.0,0,massA=0.202 massB=0.798
p1,317,31,risk,0,51,151,0.29,0.8586,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.09808,1.0,0,massA=0.0981 massB=0.902
p1,99,9,risk,0,49,153,0.26,0.8118,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.89029,1.0,0,massA=0.89 massB=0.11
p1,308,30,risk,0,149,447,0.26,0.78,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.97771,1.0,0,massA=0.0223 massB=0.978
p1,54,5,risk,0,162,381,0.46,1.0819,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.14415,1.0,0,massA=0.856 massB=0.144
p1,350,35,risk,0,91,133,0.68,0.9938,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.69925,1.0,0,massA=0.301 massB=0.699
p1,194,19,risk,0,64,122,0.49,0.9341,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.14415,1.0,0,massA=0.856 massB=0.144
p1,39,3,risk,0,46,158,0.33,1.1335,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.93046,1.0,0,massA=0.93 massB=0.0695
p1,230,23,risk,0,91,626,0.23,1.5822,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.05835,1.0,0,massA=0.942 massB=0.0583
p1,53,5,risk,0,162,381,0.46,1.0819,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.27513,1.0,0,massA=0.275 massB=0.725
p1,250,25,risk,0,124,207,0.76,1.2687,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.73716,1.0,0,massA=0.263 massB=0.737
p1,90,9,risk,0,49,153,0.26,0.8118,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.62246,1.0,0,massA=0.378 massB=0.622
p1,48,4,risk,0,29,71,0.55,1.3466,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.99605,1.0,0,massA=0.00395 massB=0.996
p1,251,25,risk,0,124,207,0.76,1.2687,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.10088,0.99999,0,massA=0.101 massB=0.899
p1,102,10,risk,0,111,278,0.58,1.4526,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.25091,1.0,0,massA=0.749 massB=0.251
p1,328,32,risk,0,131,236,0.57,1.0269,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.99218,1.0,0,massA=0.00782 massB=0.992
p1,109,10,risk,0,111,278,0.58,1.4526,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.98145,1.0,0,massA=0.981 massB=0.0185
p1,261,26,risk,0,59,151,0.36,0.9214,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.01364,1.0,0,massA=0.0136 massB=0.986
p1,220,22,risk,0,81,163,0.72,1.4489,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.9263,1.0,0,massA=0.0737 massB=0.926
p1,323,32,risk,0,131,236,0.57,1.0269,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.61509,1.0,0,massA=0.615 massB=0.385
p1,374,37,risk,0,151,252,0.68,1.1348,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.0321,1.0,0,massA=0.968 massB=0.0321
p1,284,28,risk,0,132,181,0.76,1.0421,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.47658,1.0,0,massA=0.523 massB=0.477
p1,10,1,risk,0,58,116,0.66,1.32,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.81757,1.0,0,massA=0.182 massB=0.818
p1,224,22,risk,0,81,163,0.72,1.4489,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.62246,1.0,0,massA=0.378 massB=0.622
p1,292,29,risk,0,79,81,0.83,0.851,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.96979,1.0,0,massA=0.0302 massB=0.97
p1,235,23,risk,0,91,626,0.23,1.5822,2,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.03964,1.0,0,massA=0.0396 massB=0.96
p1,182,18,risk,0,41,61,0.58,0.8629,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.65135,1.0,0,massA=0.349 massB=0.651
p1,299,29,risk,0,79,81,0.83,0.851,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.87748,1.0,0,massA=0.877 massB=0.123
p1,196,19,risk,0,64,122,0.49,0.9341,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.12592,1.0,0,massA=0.874 massB=0.126
p1,291,29,risk,0,79,81,0.83,0.851,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.02844,1.0,0,massA=0.0284 massB=0.972
p1,353,35,risk,0,91,133,0.68,0.9938,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.38491,1.0,0,massA=0.385 massB=0.615
p1,166,16,risk,0,139,234,0.6,1.0101,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.69925,1.0,0,massA=0.301 massB=0.699
p1,104,10,risk,0,111,278,0.58,1.4526,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.18713,1.0,0,massA=0.813 massB=0.187
p1,380,38,risk,0,183,609,0.38,1.2646,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.16886,1.0,0,massA=0.831 massB=0.169
p1,27,2,risk,0,162,661,0.26,1.0609,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.23935,1.0,0,massA=0.239 massB=0.761
p1,114,11,risk,0,54,68,0.81,1.02,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.61509,1.0,0,massA=0.385 massB=0.615
p1,336,33,risk,0,142,446,0.53,1.6646,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.36297,1.0,0,massA=0.637 massB=0.363
p1,138,13,risk,0,72,88,0.64,0.7822,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.93812,1.0,0,massA=0.0619 massB=0.938
p1,115,11,risk,0,54,68,0.81,1.02,2,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.13661,1.0,0,massA=0.137 massB=0.863
p1,26,2,risk,0,162,661,0.26,1.0609,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.00735,1.0,0,massA=0.993 massB=0.00735
p1,262,26,risk,0,59,151,0.36,0.9214,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.22816,1.0,0,massA=0.772 massB=0.228
p1,52,5,risk,0,162,381,0.46,1.0819,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.09808,1.0,0,massA=0.902 massB=0.0981
p1,384,38,risk,0,183,609,0.38,1.2646,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.07808,1.0,0,massA=0.922 massB=0.0781
p1,201,20,risk,0,186,266,0.63,0.901,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.02596,1.0,0,massA=0.026 massB=0.974
p1,209,20,risk,0,186,266,0.63,0.901,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.95663,1.0,0,massA=0.957 massB=0.0434
p1,200,20,risk,0,186,266,0.63,0.901,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.50781,1.0,0,massA=0.492 massB=0.508
p1,2,0,risk,0,186,984,0.26,1.3755,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.0017,1.0,0,massA=0.998 massB=0.0017
p1,74,7,risk,0,63,98,0.64,0.9956,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.65135,1.0,0,massA=0.349 massB=0.651
p1,296,29,risk,0,79,81,0.83,0.851,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.93812,1.0,0,massA=0.0619 massB=0.938
p1,57,5,risk,0,162,381,0.46,1.0819,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.55447,1.0,0,massA=0.554 massB=0.446
p1,21,2,risk,0,162,661,0.26,1.0609,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.00758,1.0,0,massA=0.00758 massB=0.992
p1,334,33,risk,0,142,446,0.53,1.6646,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.10669,1.0,0,massA=0.893 massB=0.107
p1,169,16,risk,0,139,234,0.6,1.0101,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.67233,1.0,0,massA=0.672 massB=0.328
p1,346,34,risk,0,52,96,0.63,1.1631,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.46102,1.0,0,massA=0.539 massB=0.461
p1,18,1,risk,0,58,116,0.66,1.32,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.95114,1.0,0,massA=0.0489 massB=0.951
p1,237,23,risk,0,91,626,0.23,1.5822,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.06371,1.0,0,massA=0.0637 massB=0.936
p1,339,33,risk,0,142,446,0.53,1.6646,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.9836,1.0,0,massA=0.984 massB=0.0164
p1,94,9,risk,0,49,153,0.26,0.8118,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.06954,1.0,0,massA=0.93 massB=0.0695
p1,158,15,risk,0,82,113,0.74,1.0198,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.94967,1.0,0,massA=0.0503 massB=0.95
p1,175,17,risk,0,117,362,0.42,1.2995,2,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.27513,1.0,0,massA=0.275 massB=0.725
p1,183,18,risk,0,41,61,0.58,0.8629,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.92841,1.0,0,massA=0.928 massB=0.0716
p1,207,20,risk,0,186,266,0.63,0.901,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.83548,1.0,0,massA=0.835 massB=0.165
p1,333,33,risk,0,142,446,0.53,1.6646,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.9263,1.0,0,massA=0.926 massB=0.0737
p1,316,31,risk,0,51,151,0.29,0.8586,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.29421,1.0,0,massA=0.706 massB=0.294
p1,79,7,risk,0,63,98,0.64,0.9956,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.98901,1.0,0,massA=0.989 massB=0.011
p1,150,15,risk,0,82,113,0.74,1.0198,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.80807,1.0,0,massA=0.192 massB=0.808
p1,322,32,risk,0,131,236,0.57,1.0269,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.34865,1.0,0,massA=0.651 massB=0.349
p1,239,23,risk,0,91,626,0.23,1.5822,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.66541,1.0,0,massA=0.665 massB=0.335
p1,396,39,risk,0,178,567,0.32,1.0193,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.01322,1.0,0,massA=0.987 massB=0.0132
p1,142,14,risk,0,81,201,0.68,1.6874,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.13661,1.0,0,massA=0.863 massB=0.137
p1,62,6,risk,0,94,101,0.71,0.7629,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.71223,1.0,0,massA=0.288 massB=0.712
p1,263,26,risk,0,59,151,0.36,0.9214,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.0827,1.0,0,massA=0.0827 massB=0.917
p1,378,37,risk,0,151,252,0.68,1.1348,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.14805,1.0,0,massA=0.852 massB=0.148
p1,160,16,risk,0,139,234,0.6,1.0101,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.82671,1.0,0,massA=0.173 massB=0.827
p1,383,38,risk,0,183,609,0.38,1.2646,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.39981,1.0,0,massA=0.4 massB=0.6
p1,112,11,risk,0,54,68,0.81,1.02,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.56218,1.0,0,massA=0.438 massB=0.562
p1,156,15,risk,0,82,113,0.74,1.0198,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.76065,1.0,0,massA=0.239 massB=0.761
p1,38,3,risk,0,46,158,0.33,1.1335,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.83973,1.0,0,massA=0.16 massB=0.84
p1,128,12,risk,0,164,541,0.38,1.2535,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.97156,1.0,0,massA=0.0284 massB=0.972
p1,217,21,risk,0,106,206,0.73,1.4187,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.97771,1.0,0,massA=0.978 massB=0.0223
p1,318,31,risk,0,51,151,0.29,0.8586,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.96153,1.0,0,massA=0.0385 massB=0.962
p1,55,5,risk,0,162,381,0.46,1.0819,2,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.13296,1.0,0,massA=0.133 massB=0.867
p1,96,9,risk,0,49,153,0.26,0.8118,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.13661,1.0,0,massA=0.863 massB=0.137
p1,8,0,risk,0,186,984,0.26,1.3755,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.46102,1.0,0,massA=0.539 massB=0.461
p1,132,13,risk,0,72,88,0.64,0.7822,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.25091,1.0,0,massA=0.749 massB=0.251
p1,340,34,risk,0,52,96,0.63,1.1631,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.96267,1.0,0,massA=0.0373 massB=0.963
p1,28,2,risk,0,162,661,0.26,1.0609,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.91244,1.0,0,massA=0.0876 massB=0.912
p1,77,7,risk,0,63,98,0.64,0.9956,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.95915,1.0,0,massA=0.959 massB=0.0408
p1,349,34,risk,0,52,96,0.63,1.1631,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.99539,1.0,0,massA=0.995 massB=0.00461
p1,371,37,risk,0,151,252,0.68,1.1348,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.15203,0.99999,0,massA=0.152 massB=0.848
p1,0,0,risk,0,186,984,0.26,1.3755,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.0164,1.0,0,massA=0.984 massB=0.0164
p1,111,11,risk,0,54,68,0.81,1.02,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.02759,0.99999,0,massA=0.0276 massB=0.972
p1,238,23,risk,0,91,626,0.23,1.5822,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.72487,1.0,0,massA=0.275 massB=0.725
