instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,induce,p_gamble,ab_mass,excluded,note
p1,354,35,risk,0,91,133,0.68,0.9938,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.68257,0.99825,0,massA=0.317 massB=0.681
p1,210,21,risk,0,106,206,0.73,1.4187,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.52342,0.99927,0,massA=0.476 massB=0.523
p1,60,6,risk,0,94,101,0.71,0.7629,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.4649,0.99945,0,massA=0.535 massB=0.465
p1,70,7,risk,0,63,98,0.64,0.9956,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.62977,0.99931,0,massA=0.37 massB=0.629
p1,273,27,risk,0,166,433,0.53,1.3825,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.45714,0.99548,0,massA=0.455 massB=0.54
p1,174,17,risk,0,117,362,0.42,1.2995,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.61509,0.99893,0,massA=0.385 massB=0.614
p1,100,10,risk,0,111,278,0.58,1.4526,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.40733,0.99945,0,massA=0.592 massB=0.407
p1,176,17,risk,0,117,362,0.42,1.2995,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.67233,0.99991,0,massA=0.328 massB=0.672
p1,272,27,risk,0,166,433,0.53,1.3825,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.73716,0.99326,0,massA=0.261 massB=0.732
p1,149,14,risk,0,81,201,0.68,1.6874,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.40733,0.98567,0,massA=0.401 massB=0.584
p1,294,29,risk,0,79,81,0.83,0.851,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.57368,0.99913,0,massA=0.426 massB=0.573
p1,385,38,risk,0,183,609,0.38,1.2646,2,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.4225,0.98677,0,massA=0.417 massB=0.57
p1,64,6,risk,0,94,101,0.71,0.7629,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.56985,0.99901,0,massA=0.43 massB=0.569
p1,241,24,risk,0,168,214,0.76,0.9681,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.78531,0.99645,0,massA=0.783 massB=0.214
p1,37,3,risk,0,46,158,0.33,1.1335,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.69264,0.99977,0,massA=0.692 massB=0.307
p1,198,19,risk,0,64,122,0.49,0.9341,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.83548,0.99275,0,massA=0.163 massB=0.829
p1,216,21,risk,0,106,206,0.73,1.4187,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.69264,0.99979,0,massA=0.307 massB=0.692
p1,360,36,risk,0,98,227,0.47,1.0887,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.57368,0.99951,0,massA=0.426 massB=0.573
p1,254,25,risk,0,124,207,0.76,1.2687,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.60766,0.99868,0,massA=0.392 massB=0.607
p1,258,25,risk,0,124,207,0.76,1.2687,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.85966,0.99158,0,massA=0.139 massB=0.852
p1,377,37,risk,0,151,252,0.68,1.1348,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.87915,0.99975,0,massA=0.879 massB=0.121
p1,120,12,risk,0,164,541,0.38,1.2535,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.45326,0.9997,0,massA=0.547 massB=0.453
p1,389,38,risk,0,183,609,0.38,1.2646,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.36659,0.98715,0,massA=0.362 massB=0.625
p1,281,28,risk,0,132,181,0.76,1.0421,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.73412,0.99539,0,massA=0.731 massB=0.265
p1,260,26,risk,0,59,151,0.36,0.9214,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.54674,0.99963,0,massA=0.453 massB=0.547
p1,146,14,risk,0,81,201,0.68,1.6874,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.72798,0.99975,0,massA=0.272 massB=0.728
p1,179,17,risk,0,117,362,0.42,1.2995,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.32767,0.98616,0,massA=0.323 massB=0.663
p1,271,27,risk,0,166,433,0.53,1.3825,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.79566,0.99605,0,massA=0.793 massB=0.204
p1,264,26,risk,0,59,151,0.36,0.9214,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.63703,0.99889,0,massA=0.363 massB=0.636
p1,290,29,risk,0,79,81,0.83,0.851,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.4225,0.99954,0,massA=0.577 massB=0.422
p1,343,34,risk,0,52,96,0.63,1.1631,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.40733,0.99318,0,massA=0.405 massB=0.589
p1,286,28,risk,0,132,181,0.76,1.0421,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.63703,0.99983,0,massA=0.363 massB=0.637
p1,51,5,risk,0,162,381,0.46,1.0819,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.74017,0.99666,0,massA=0.738 massB=0.259
p1,252,25,risk,0,124,207,0.76,1.2687,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.7773,0.99107,0,massA=0.221 massB=0.77
p1,107,10,risk,0,111,278,0.58,1.4526,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.75201,0.99974,0,massA=0.752 massB=0.248
p1,173,17,risk,0,117,362,0.42,1.2995,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.3522,0.99541,0,massA=0.351 massB=0.645
p1,382,38,risk,0,183,609,0.38,1.2646,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.74317,0.99175,0,massA=0.255 massB=0.737
p1,59,5,risk,0,162,381,0.46,1.0819,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.39607,0.98732,0,massA=0.391 massB=0.596
p1,330,33,risk,0,142,446,0.53,1.6646,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.43398,0.99966,0,massA=0.566 massB=0.434
p1,317,31,risk,0,51,151,0.29,0.8586,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.70579,0.9997,0,massA=0.706 massB=0.294
p1,99,9,risk,0,49,153,0.26,0.8118,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.33808,0.98825,0,massA=0.334 massB=0.654
p1,308,30,risk,0,149,447,0.26,0.78,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.84997,0.99401,0,massA=0.149 massB=0.845
p1,54,5,risk,0,162,381,0.46,1.0819,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.62612,0.9991,0,massA=0.374 massB=0.626
p1,350,35,risk,0,91,133,0.68,0.9938,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.54674,0.99934,0,massA=0.453 massB=0.546
p1,194,19,risk,0,64,122,0.49,0.9341,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.52732,0.99907,0,massA=0.472 massB=0.527
p1,39,3,risk,0,46,158,0.33,1.1335,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.33808,0.99263,0,massA=0.336 massB=0.657
p1,230,23,risk,0,91,626,0.23,1.5822,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.44939,0.99959,0,massA=0.55 massB=0.449
p1,53,5,risk,0,162,381,0.46,1.0819,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.37023,0.99479,0,massA=0.368 massB=0.626
p1,250,25,risk,0,124,207,0.76,1.2687,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.47658,0.99939,0,massA=0.523 massB=0.476
p1,90,9,risk,0,49,153,0.26,0.8118,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.50391,0.99968,0,massA=0.496 massB=0.504
p1,48,4,risk,0,29,71,0.55,1.3466,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.87915,0.99247,0,massA=0.12 massB=0.873
p1,251,25,risk,0,124,207,0.76,1.2687,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.79311,0.99581,0,massA=0.79 massB=0.206
p1,102,10,risk,0,111,278,0.58,1.4526,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.76065,0.99092,0,massA=0.237 massB=0.754
p1,328,32,risk,0,131,236,0.57,1.0269,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.89029,0.99278,0,massA=0.109 massB=0.884
p1,109,10,risk,0,111,278,0.58,1.4526,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.34158,0.98504,0,massA=0.336 massB=0.649
p1,261,26,risk,0,59,151,0.36,0.9214,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.73716,0.99524,0,massA=0.734 massB=0.262
p1,220,22,risk,0,81,163,0.72,1.4489,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.51952,0.99929,0,massA=0.48 massB=0.519
p1,323,32,risk,0,131,236,0.57,1.0269,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.40733,0.99301,0,massA=0.404 massB=0.589
p1,374,37,risk,0,151,252,0.68,1.1348,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.61878,0.99846,0,massA=0.381 massB=0.618
p1,284,28,risk,0,132,181,0.76,1.0421,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.63341,0.99906,0,massA=0.366 massB=0.633
p1,10,1,risk,0,58,116,0.66,1.32,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.46102,0.99962,0,massA=0.539 massB=0.461
p1,224,22,risk,0,81,163,0.72,1.4489,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.62977,0.99855,0,massA=0.37 massB=0.629
p1,292,29,risk,0,79,81,0.83,0.851,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.71542,0.99299,0,massA=0.283 massB=0.71
p1,235,23,risk,0,91,626,0.23,1.5822,2,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.34511,0.9881,0,massA=0.341 massB=0.647
p1,182,18,risk,0,41,61,0.58,0.8629,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.87579,0.97349,0,massA=0.121 massB=0.853
p1,299,29,risk,0,79,81,0.83,0.851,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.64064,0.98512,0,massA=0.631 massB=0.354
p1,196,19,risk,0,64,122,0.49,0.9341,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.56602,0.99983,0,massA=0.434 massB=0.566
p1,291,29,risk,0,79,81,0.83,0.851,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.9344,0.99598,0,massA=0.931 massB=0.0653
p1,353,35,risk,0,91,133,0.68,0.9938,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.44167,0.99462,0,massA=0.439 massB=0.555
p1,166,16,risk,0,139,234,0.6,1.0101,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.62246,0.9998,0,massA=0.377 massB=0.622
p1,104,10,risk,0,111,278,0.58,1.4526,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.56985,0.99857,0,massA=0.43 massB=0.569
p1,380,38,risk,0,183,609,0.38,1.2646,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.49609,0.99964,0,massA=0.504 massB=0.496
p1,27,2,risk,0,162,661,0.26,1.0609,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.70902,0.99961,0,massA=0.709 massB=0.291
p1,114,11,risk,0,54,68,0.81,1.02,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.61878,0.99868,0,massA=0.381 massB=0.618
p1,336,33,risk,0,142,446,0.53,1.6646,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.61878,0.9999,0,massA=0.381 massB=0.619
p1,138,13,risk,0,72,88,0.64,0.7822,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.86339,0.99103,0,massA=0.135 massB=0.856
p1,115,11,risk,0,54,68,0.81,1.02,2,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.68931,0.99393,0,massA=0.685 massB=0.309
p1,26,2,risk,0,162,661,0.26,1.0609,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.59267,0.99989,0,massA=0.407 massB=0.593
p1,262,26,risk,0,59,151,0.36,0.9214,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.80069,0.99472,0,massA=0.198 massB=0.796
p1,52,5,risk,0,162,381,0.46,1.0819,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.76348,0.99427,0,massA=0.235 massB=0.759
p1,384,38,risk,0,183,609,0.38,1.2646,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.65135,0.99872,0,massA=0.348 massB=0.651
p1,201,20,risk,0,186,266,0.63,0.901,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.84797,0.99501,0,massA=0.844 massB=0.151
p1,209,20,risk,0,186,266,0.63,0.901,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.39981,0.98581,0,massA=0.394 massB=0.592
p1,200,20,risk,0,186,266,0.63,0.901,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.5,0.99928,0,massA=0.5 massB=0.5
p1,2,0,risk,0,186,984,0.26,1.3755,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.70902,0.99576,0,massA=0.29 massB=0.706
p1,74,7,risk,0,63,98,0.64,0.9956,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.73716,0.99805,0,massA=0.262 massB=0.736
p1,296,29,risk,0,79,81,0.83,0.851,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.62612,0.99985,0,massA=0.374 massB=0.626
p1,57,5,risk,0,162,381,0.46,1.0819,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.81989,0.99975,0,massA=0.82 massB=0.18
p1,21,2,risk,0,162,661,0.26,1.0609,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.63341,0.99656,0,massA=0.631 massB=0.365
p1,334,33,risk,0,142,446,0.53,1.6646,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.5851,0.9992,0,massA=0.415 massB=0.585
p1,169,16,risk,0,139,234,0.6,1.0101,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.37754,0.98873,0,massA=0.373 massB=0.615
p1,346,34,risk,0,52,96,0.63,1.1631,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.71859,0.99971,0,massA=0.281 massB=0.718
p1,18,1,risk,0,58,116,0.66,1.32,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.84997,0.9938,0,massA=0.149 massB=0.845
p1,237,23,risk,0,91,626,0.23,1.5822,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.75201,0.99971,0,massA=0.752 massB=0.248
p1,339,33,risk,0,142,446,0.53,1.6646,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.33112,0.9892,0,massA=0.328 massB=0.662
p1,94,9,risk,0,49,153,0.26,0.8118,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.5351,0.99914,0,massA=0.465 massB=0.535
p1,158,15,risk,0,82,113,0.74,1.0198,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.88404,0.99074,0,massA=0.115 massB=0.876
p1,175,17,risk,0,117,362,0.42,1.2995,2,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.44553,0.98751,0,massA=0.44 massB=0.548
p1,183,18,risk,0,41,61,0.58,0.8629,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.46879,0.9912,0,massA=0.465 massB=0.527
p1,207,20,risk,0,186,266,0.63,0.901,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.86883,0.9998,0,massA=0.869 massB=0.131
p1,333,33,risk,0,142,446,0.53,1.6646,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.4149,0.9963,0,massA=0.413 massB=0.583
p1,316,31,risk,0,51,151,0.29,0.8586,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.65135,0.99985,0,massA=0.349 massB=0.651
p1,79,7,risk,0,63,98,0.64,0.9956,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.39607,0.97915,0,massA=0.388 massB=0.591
p1,150,15,risk,0,82,113,0.74,1.0198,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.54674,0.99948,0,massA=0.453 massB=0.546
p1,322,32,risk,0,131,236,0.57,1.0269,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.78531,0.99079,0,massA=0.213 massB=0.778
p1,239,23,risk,0,91,626,0.23,1.5822,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.30075,0.98546,0,massA=0.296 massB=0.689
p1,396,39,risk,0,178,567,0.32,1.0193,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.63341,0.99989,0,massA=0.367 massB=0.633
p1,142,14,risk,0,81,201,0.68,1.6874,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.79819,0.98989,0,massA=0.2 massB=0.79
p1,62,6,risk,0,94,101,0.71,0.7629,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.75779,0.99327,0,massA=0.241 massB=0.753
p1,263,26,risk,0,59,151,0.36,0.9214,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.4187,0.99226,0,massA=0.415 massB=0.577
p1,378,37,risk,0,151,252,0.68,1.1348,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.86154,0.9899,0,massA=0.137 massB=0.853
p1,160,16,risk,0,139,234,0.6,1.0101,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.55061,0.99955,0,massA=0.449 massB=0.55
p1,383,38,risk,0,183,609,0.38,1.2646,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.40733,0.9967,0,massA=0.406 massB=0.591
p1,112,11,risk,0,54,68,0.81,1.02,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.75201,0.99164,0,massA=0.246 massB=0.746
p1,156,15,risk,0,82,113,0.74,1.0198,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.67918,0.99983,0,massA=0.321 massB=0.679
p1,38,3,risk,0,46,158,0.33,1.1335,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.83114,0.99255,0,massA=0.168 massB=0.825
p1,128,12,risk,0,164,541,0.38,1.2535,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.87408,0.99378,0,massA=0.125 massB=0.869
p1,217,21,risk,0,106,206,0.73,1.4187,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.80069,0.99979,0,massA=0.801 massB=0.199
p1,318,31,risk,0,51,151,0.29,0.8586,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.88563,0.99053,0,massA=0.113 massB=0.877
p1,55,5,risk,0,162,381,0.46,1.0819,2,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.46879,0.99178,0,massA=0.465 massB=0.527
p1,96,9,risk,0,49,153,0.26,0.8118,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.67576,0.99989,0,massA=0.324 massB=0.676
p1,8,0,risk,0,186,984,0.26,1.3755,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.87235,0.99117,0,massA=0.127 massB=0.865
p1,132,13,risk,0,72,88,0.64,0.7822,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.81048,0.98286,0,massA=0.186 massB=0.797
p1,340,34,risk,0,52,96,0.63,1.1631,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.56985,0.9992,0,massA=0.43 massB=0.569
